inspection_id,asset_id,inspection_type,inspected_at,result,condition_score,follow_up_required
INSP0063,AST0004,Water Quality Support,2026-05-11 12:00:00,Failed,5,true
INSP0064,AST0015,Routine Condition,2026-05-15 13:00:00,Passed,3,true
INSP0065,AST0026,Leak Detection,2026-05-19 14:00:00,Passed,1,false
INSP0066,AST0007,Mechanical,2026-05-23 09:00:00,Advisory,4,false
INSP0067,AST0018,Water Quality Support,2026-05-27 10:00:00,Failed,2,false
INSP0068,AST0029,Routine Condition,2026-05-31 11:00:00,Passed,5,true
INSP0069,AST0010,Leak Detection,2026-06-04 12:00:00,Passed,3,false
INSP0070,AST0021,Mechanical,2026-06-08 13:00:00,Advisory,1,true
INSP0071,AST0002,Water Quality Support,2026-06-12 14:00:00,Failed,4,false
INSP0072,AST0013,Routine Condition,2026-06-16 09:00:00,Passed,2,true
INSP0073,AST0024,Leak Detection,2026-06-20 10:00:00,Passed,5,false
INSP0074,AST0005,Mechanical,2026-06-24 11:00:00,Advisory,3,false
INSP0075,AST0016,Water Quality Support,2026-06-28 12:00:00,Failed,1,false
INSP0076,AST0027,Routine Condition,2026-07-02 13:00:00,Passed,4,true
INSP0077,AST0008,Leak Detection,2026-07-06 14:00:00,Passed,2,true
INSP0078,AST0019,Mechanical,2026-07-10 09:00:00,Advisory,5,false
INSP0079,AST0030,Water Quality Support,2026-07-14 10:00:00,Failed,3,false
INSP0080,AST0011,Routine Condition,2026-07-18 11:00:00,Passed,1,true
INSP0081,AST0022,Leak Detection,2026-07-22 12:00:00,Passed,4,false
INSP0082,AST0003,Mechanical,2026-07-26 13:00:00,Advisory,2,false
INSP0083,AST0014,Water Quality Support,2026-07-30 14:00:00,Failed,5,false
INSP0084,AST0025,Routine Condition,2026-08-03 09:00:00,Passed,3,true
INSP0085,AST0006,Leak Detection,2026-08-07 10:00:00,Passed,1,false
INSP0086,AST0017,Mechanical,2026-08-11 11:00:00,Advisory,4,false
INSP0087,AST0028,Water Quality Support,2026-08-15 12:00:00,Failed,2,false
INSP0088,AST0009,Routine Condition,2026-08-19 13:00:00,Passed,5,true
INSP0089,AST0020,Leak Detection,2026-08-23 14:00:00,Passed,3,false
INSP0090,AST0001,Mechanical,2026-08-27 09:00:00,Advisory,1,false
