work_order_id,incident_id,work_type,priority,status,raised_at,work_started_at,promised_completion_at,work_completed_at,crew_region
WO0014,INC0011,Pressure Investigation,Emergency,Completed,2026-02-05 11:30:00,2026-02-05 17:30:00,2026-02-07 07:30:00,2026-02-07 15:30:00,South East
WO0015,INC0016,Network Flush,Routine,Completed,2026-02-20 16:30:00,2026-02-20 23:30:00,2026-02-22 13:30:00,2026-02-23 04:30:00,North West
WO0016,INC0021,Leak Repair,Urgent,Planned,2026-03-07 12:30:00,,2026-03-09 10:30:00,,North East
WO0017,INC0026,Valve Replacement,Emergency,In Progress,2026-03-22 17:30:00,2026-03-23 02:30:00,2026-03-24 16:30:00,,Midlands
WO0018,INC0031,Pressure Investigation,Routine,Completed,2026-04-06 13:30:00,2026-04-06 23:30:00,2026-04-08 13:30:00,2026-04-07 13:30:00,South West
WO0019,INC0036,Network Flush,Urgent,Completed,2026-04-21 09:30:00,2026-04-21 20:30:00,2026-04-23 10:30:00,2026-04-22 17:30:00,South East
WO0020,INC0041,Leak Repair,Emergency,Planned,2026-05-06 14:30:00,,2026-05-08 16:30:00,,North West
WO0021,INC0046,Valve Replacement,Routine,In Progress,2026-05-21 10:30:00,2026-05-21 23:30:00,2026-05-23 13:30:00,,North East
WO0022,INC0051,Pressure Investigation,Urgent,Completed,2026-06-05 15:30:00,2026-06-06 05:30:00,2026-06-07 19:30:00,2026-06-07 23:30:00,Midlands
WO0023,INC0056,Network Flush,Emergency,Completed,2026-06-20 11:30:00,2026-06-21 02:30:00,2026-06-22 16:30:00,2026-06-23 03:30:00,South West
WO0024,INC0001,Leak Repair,Routine,Planned,2026-01-06 10:30:00,,2026-01-08 16:30:00,,South East
WO0025,INC0006,Valve Replacement,Urgent,In Progress,2026-01-21 15:30:00,2026-01-21 20:30:00,2026-01-23 22:30:00,,North West
WO0026,INC0011,Pressure Investigation,Emergency,Completed,2026-02-05 11:30:00,2026-02-05 17:30:00,2026-02-07 19:30:00,2026-02-06 03:30:00,North East
WO0027,INC0016,Network Flush,Routine,Completed,2026-02-20 16:30:00,2026-02-20 23:30:00,2026-02-23 01:30:00,2026-02-21 16:30:00,Midlands
WO0028,INC0021,Leak Repair,Urgent,Planned,2026-03-07 12:30:00,,2026-03-09 22:30:00,,South West
WO0029,INC0026,Valve Replacement,Emergency,In Progress,2026-03-22 17:30:00,2026-03-23 02:30:00,2026-03-25 04:30:00,,South East
WO0030,INC0031,Pressure Investigation,Routine,Completed,2026-04-06 13:30:00,2026-04-06 23:30:00,2026-04-09 01:30:00,2026-04-08 13:30:00,North West
WO0031,INC0036,Network Flush,Urgent,Completed,2026-04-21 09:30:00,2026-04-21 20:30:00,2026-04-23 22:30:00,2026-04-23 17:30:00,North East
WO0032,INC0041,Leak Repair,Emergency,Planned,2026-05-06 14:30:00,,2026-05-09 04:30:00,,Midlands
WO0033,INC0046,Valve Replacement,Routine,In Progress,2026-05-21 10:30:00,2026-05-21 23:30:00,2026-05-24 01:30:00,,South West
WO0034,INC0051,Pressure Investigation,Urgent,Completed,2026-06-05 15:30:00,2026-06-06 05:30:00,2026-06-08 07:30:00,2026-06-08 23:30:00,South East
WO0035,INC0056,Network Flush,Emergency,Completed,2026-06-20 11:30:00,2026-06-21 02:30:00,2026-06-23 04:30:00,2026-06-21 15:30:00,North West
WO0036,INC0001,Leak Repair,Routine,Planned,2026-01-06 10:30:00,,2026-01-07 16:30:00,,North East
WO0037,INC0006,Valve Replacement,Urgent,In Progress,2026-01-21 15:30:00,2026-01-21 20:30:00,2026-01-22 22:30:00,,Midlands
WO0038,INC0011,Pressure Investigation,Emergency,Completed,2026-02-05 11:30:00,2026-02-05 17:30:00,2026-02-06 19:30:00,2026-02-07 03:30:00,South West
WO0039,INC0016,Network Flush,Routine,Completed,2026-02-20 16:30:00,2026-02-20 23:30:00,2026-02-22 01:30:00,2026-02-22 16:30:00,South East
WO0040,INC0021,Leak Repair,Urgent,Planned,2026-03-07 12:30:00,,2026-03-08 22:30:00,,North West
WO0041,INC0026,Valve Replacement,Emergency,In Progress,2026-03-22 17:30:00,2026-03-23 02:30:00,2026-03-24 04:30:00,,North East
WO0042,INC0031,Pressure Investigation,Routine,Completed,2026-04-06 13:30:00,2026-04-06 23:30:00,2026-04-08 01:30:00,2026-04-09 13:30:00,Midlands
WO0043,INC0036,Network Flush,Urgent,Completed,2026-04-21 09:30:00,2026-04-21 20:30:00,2026-04-22 22:30:00,2026-04-22 05:30:00,South West
WO0044,INC0041,Leak Repair,Emergency,Planned,2026-05-06 14:30:00,,2026-05-08 04:30:00,,South East
WO0045,INC0046,Valve Replacement,Routine,In Progress,2026-05-21 10:30:00,2026-05-21 23:30:00,2026-05-23 01:30:00,,North West
WO0046,INC0051,Pressure Investigation,Urgent,Completed,2026-06-05 15:30:00,2026-06-06 05:30:00,2026-06-07 07:30:00,2026-06-07 11:30:00,North East
WO0047,INC0056,Network Flush,Emergency,Completed,2026-06-20 11:30:00,2026-06-21 02:30:00,2026-06-22 04:30:00,2026-06-22 15:30:00,Midlands
WO0048,INC0001,Leak Repair,Routine,Planned,2026-01-06 10:30:00,,2026-01-08 04:30:00,,South West
WO0049,INC0006,Valve Replacement,Urgent,In Progress,2026-01-21 15:30:00,2026-01-21 20:30:00,2026-01-23 10:30:00,,South East
WO0050,INC0011,Pressure Investigation,Emergency,Completed,2026-02-05 11:30:00,2026-02-05 17:30:00,2026-02-07 07:30:00,2026-02-08 03:30:00,North West
WO0051,INC0016,Network Flush,Routine,Completed,2026-02-20 16:30:00,2026-02-20 23:30:00,2026-02-22 13:30:00,2026-02-23 16:30:00,North East
WO0052,INC0021,Leak Repair,Urgent,Planned,2026-03-07 12:30:00,,2026-03-09 10:30:00,,Midlands
WO0053,INC0026,Valve Replacement,Emergency,In Progress,2026-03-22 17:30:00,2026-03-23 02:30:00,2026-03-24 16:30:00,,South West
WO0054,INC0031,Pressure Investigation,Routine,Completed,2026-04-06 13:30:00,2026-04-06 23:30:00,2026-04-08 13:30:00,2026-04-08 01:30:00,South East
WO0055,INC0036,Network Flush,Urgent,Completed,2026-04-21 09:30:00,2026-04-21 20:30:00,2026-04-23 10:30:00,2026-04-23 05:30:00,North West
